question,https://confluence.utmn.ru/pages/viewpage.action?pageId=
Я хожу в фитнес-клуб. Как заменить физкультуру?,86479056
Как можно получать баллы за физру?,86479056
Где можно узнать об элективах?,86479065
Куда обращаться по поводу оплаты обучения?,86479050
Как получить справку об обучении заочнику?,86478992
Почему не могу получить справку-вызов?,86478987
Где продлять студак?,86479052
Сколько делается табель с оценками?,86478994
Где взять справку для военкомата?,86478990
Как сменить общежитие?,86479054
Сколько ждать решение по академу?,86479024
"Что нужно, чтобы восстановиться?",86479013
Можно ли восстановиться на бюджет?,86479015
Сколько раз можно пересдать ГИА?,86479009
Как повторно защитить диплом?,86479011
Когда можно получить справку о стипендии?,86478996
Даты подачи заявления для восстановления на очку,86479005
Даты подачи заявления для восстановления на заочку,86479007
Как восстановиться на договорное место?,86479017
Как перевестись в ТюмГУ?,86479045
Какие доки нужны для перевода в ТюмГУ из другого ВУЗа?,86479047
Какие доки нужны для перевода на другое направление?,86479041
Дает ли ТюмГУ отпуск при беременности?,86479026
Когда подавать заявление для выхода из академа?,86479034
Можно ли продлить академ?,86479036
"Что делать, если призвали в армию во время учебы?",86479032
"Что делать, если нужно следить за ребенком во время учебы?",86479030
Не могу обучаться по мед показаниям. Что делать?,86479028
Сколько делается приказ об отчислении при переводе в другой ВУЗ?,86479043
"Кому можно отдать документы, чтобы закрывать физру через спорт зал?",86479056
"Мне не нравится электив, на который я записался, что делать?",86479065
Когда я должен заплатить за обучение?,86479050
Где я могу получить справку об обучении?,86478992
Как получить справку-вызов?,86478987
Как восстановить пропуск?,86479052
Как получить справке с оценками?,86478994
Как получить отсрочку от армии?,86478990
Как получить место в общежитии?,86479054
Как выйти в академ?,86479024
Как восстановиться в обучении?,86479013
"Я слетел с бюджета, как мне восстановиться?",86479015
Когда я могу повторно пройти экзамены?,86479009
Когда я могу повторно защитить диплом?,86479011
Где получить справку о размере стипендии?,86478996
Когда можно подать документы на восстановление в обучении?,86479005
Когда можно подать документы на восстановление в обучении на заочке?,86479007
Как восстановиться на целевое место?,86479017
Я учусь в другом ВУЗе. Как я могу перевстись в ТюмГУ?,86479045
Какие документы нужны для перевода в ТюмГУ из другого ВУЗа?,86479047
Как перевестись на другое направление?,86479041
Как получить отпуск по беременности?,86479026
Как выйти из академа?,86479034
Как продлить академ?,86479036
"Меня призвали в армию, что делать?",86479032
Как получить отпуск по уходу заребёнком?,86479030
Как получить отпуск по мед. показаниям?,86479028
Как перевестись в другой ВУЗ?,86479043
Сколько часов нужно отходить в спортзал для зачета?,86479056
Могу ли я в последний момент отказаться от смены электива?,86479065
Сколько у меня есть времени для оплаты обучения?,86479050
"Что делать, если я забуду пропуск?",86478992
Где получить справку-вызов?,86478987
Какого формата фотография нужна для студенческого билета?,86479052
Где получить справку с оценками?,86478994
Где получить информацию о справке в военкомат?,86478990
Куда обратиться по поводу общежития?,86479054
Где взять бланк для академического отпуска?,86479024
Какой перечень документов для восстановления на обучение?,86479013
Могу ли я восстановаться на бюджет?,86479015
Сколько раз я могу пройти повторно итоговую аттестацию?,86479009
В какой промежуток времени я могу пройти повторную аттестацию?,86479011
Часы работы бухгалтерии ТюмГУ,86478996
Когда я могу подать заявление на восстановление?,86479005
Могу ли я восстановиться на заочке?,86479007
"Можно восстановаиться, если я поступал на договор?",86479017
Когда мне выдадут студенческий билет после перевода?,86479045
Перечень документов для перевода в ТюмГУ,86479047
Как перевестись на другое направление на заочке?,86479041
Сколько дней длится отпуск по беременности?,86479026
Как мне подать заявление о выходе с академа?,86479034
Куда отправить заполненные заявления для академа?,86479036
Основания для академа по призыву,86479032
"Сколько максимум должно быть ребенку, чтобы я мог оформить отпуск по его уходу?",86479030
Границы отпуска по медицинским показаниям?,86479028
Сколько ждать приказ об отчислении про переводе в другой вуз?,86479043
